Units,Millimeter,,,,
LocalizedCategoryId,3,,,,
Designation,Class,Minor Diameter Min,Minor Diameter Max,Major Diameter Min,Threads per Inch or Thread Pitch
M80x2,6H,77.835,78.210,80.000,2
M80x1.5,6H,78.376,78.676,80.000,1.5
M80x1,6H,78.917,79.153,80.000,1
M82x2,6H,79.835,80.210,82.000,2
M85x6,6H,78.505,79.305,85.000,6
M85x4,6H,80.670,81.270,85.000,4
M85x3,6H,81.752,82.252,85.000,3
M85x2,6H,82.835,83.210,85.000,2
M85x1.5,6H,83.376,83.676,85.000,1.5
M90x6,6H,83.505,84.305,90.000,6
M90x4,6H,85.670,86.270,90.000,4
M90x3,6H,86.752,87.252,90.000,3
M90x2,6H,87.835,88.210,90.000,2
M90x1.5,6H,88.376,88.676,90.000,1.5
M95x6,6H,88.505,89.305,95.000,6
M95x4,6H,90.670,91.270,95.000,4
M95x3,6H,91.752,92.252,95.000,3
M95x2,6H,92.835,93.210,95.000,2
M95x1.5,6H,93.376,93.676,95.000,1.5
M100x6,6H,93.505,94.305,100.000,6
M100x4,6H,95.670,96.270,100.000,4
M100x3,6H,96.752,97.252,100.000,3
M100x2,6H,97.835,98.210,100.000,2
M100x1.5,6H,98.376,98.676,100.000,1.5
M105x6,6H,98.505,99.305,105.000,6
M105x4,6H,100.670,101.270,105.000,4
M105x3,6H,101.752,102.252,105.000,3
M105x2,6H,102.835,103.210,105.000,2
M105x1.5,6H,103.376,103.676,105.000,1.5
M110x6,6H,103.505,104.305,110.000,6
M110x4,6H,105.670,106.270,110.000,4
M110x3,6H,106.752,107.252,110.000,3
M110x2,6H,107.835,108.210,110.000,2
M110x1.5,6H,108.376,108.676,110.000,1.5
M115x6,6H,108.505,109.305,115.000,6
M115x4,6H,110.670,111.270,115.000,4
M115x3,6H,111.752,112.252,115.000,3
M115x2,6H,112.835,113.210,115.000,2
M115x1.5,6H,113.376,113.676,115.000,1.5
M120x6,6H,113.505,114.305,120.000,6
M120x4,6H,115.670,116.270,120.000,4
M120x3,6H,116.752,117.252,120.000,3
M120x2,6H,117.835,118.210,120.000,2
M120x1.5,6H,118.376,118.676,120.000,1.5
M125x8,6H,116.340,117.340,125.000,8
M125x6,6H,118.505,119.305,125.000,6
M125x4,6H,120.670,121.270,125.000,4
M125x3,6H,121.752,122.252,125.000,3
M125x2,6H,122.835,123.210,125.000,2
M125x1.5,6H,123.376,123.676,125.000,1.5
M130x8,6H,121.340,122.340,130.000,8
M130x6,6H,123.505,124.305,130.000,6
M130x4,6H,125.670,126.270,130.000,4
M130x3,6H,126.752,127.252,130.000,3
M130x2,6H,127.835,128.210,130.000,2
M130x1.5,6H,128.376,128.676,130.000,1.5
M135x6,6H,128.505,129.305,135.000,6
M135x4,6H,130.670,131.270,135.000,4
M135x3,6H,131.752,132.252,135.000,3
M135x2,6H,132.835,133.210,135.000,2
M135x1.5,6H,133.376,133.676,135.000,1.5
M140x8,6H,131.340,132.340,140.000,8
M140x6,6H,133.505,134.305,140.000,6
M140x4,6H,135.670,136.270,140.000,4
M140x3,6H,136.752,137.252,140.000,3
M140x2,6H,137.835,138.210,140.000,2
M140x1.5,6H,138.376,138.676,140.000,1.5
M145x6,6H,138.505,139.305,145.000,6
M145x4,6H,140.670,141.270,145.000,4
M145x3,6H,141.752,142.252,145.000,3
M145x2,6H,142.835,143.210,145.000,2
M145x1.5,6H,143.376,143.676,145.000,1.5
M150x8,6H,141.340,142.340,150.000,8
M150x6,6H,143.505,144.305,150.000,6
M150x4,6H,145.670,146.270,150.000,4
M150x3,6H,146.752,147.252,150.000,3
M150x2,6H,147.835,148.210,150.000,2
M150x1.5,6H,148.376,148.676,150.000,1.5
M155x6,6H,148.505,149.305,155.000,6
M155x4,6H,150.670,151.270,155.000,4
M155x3,6H,151.752,152.252,155.000,3
M155x2,6H,152.835,153.210,155.000,2
M160x8,6H,151.340,152.340,160.000,8
M160x6,6H,153.505,154.305,160.000,6
M160x4,6H,155.670,156.270,160.000,4
M160x3,6H,156.752,157.252,160.000,3
M160x2,6H,157.835,158.210,160.000,2
M165x6,6H,158.505,159.305,165.000,6
M165x4,6H,160.670,161.270,165.000,4
M165x3,6H,161.752,162.252,165.000,3
M165x2,6H,162.835,163.210,165.000,2
M170x8,6H,161.340,162.340,170.000,8
M170x6,6H,163.505,164.305,170.000,6
M170x4,6H,165.670,166.270,170.000,4
M170x3,6H,166.752,167.252,170.000,3
M170x2,6H,167.835,168.210,170.000,2
M175x6,6H,168.505,169.305,175.000,6
M175x4,6H,170.670,171.270,175.000,4
M175x3,6H,171.752,172.252,175.000,3
M175x2,6H,172.835,173.210,175.000,2
M180x8,6H,171.340,172.340,180.000,8
M180x6,6H,173.505,174.305,180.000,6
M180x4,6H,175.670,176.270,180.000,4
M180x3,6H,176.752,177.252,180.000,3
M180x2,6H,177.835,178.210,180.000,2
M185x6,6H,178.505,179.305,185.000,6
M185x4,6H,180.670,181.270,185.000,4
M185x3,6H,181.752,182.252,185.000,3
M185x2,6H,182.835,183.210,185.000,2
M190x8,6H,181.340,182.340,190.000,8
M190x6,6H,183.505,184.305,190.000,6
M190x4,6H,185.670,186.270,190.000,4
M190x3,6H,186.752,187.252,190.000,3
M190x2,6H,187.835,188.210,190.000,2
M195x6,6H,188.505,189.305,195.000,6
M195x4,6H,190.670,191.270,195.000,4
M195x3,6H,191.752,192.252,195.000,3
M195x2,6H,192.835,193.210,195.000,2
M200x8,6H,191.340,192.340,200.000,8
M200x6,6H,193.505,194.305,200.000,6
M200x4,6H,195.670,196.270,200.000,4
M200x3,6H,196.752,197.252,200.000,3
M200x2,6H,197.835,198.210,200.000,2
M205x6,6H,198.505,199.305,205.000,6
M205x4,6H,200.670,201.270,205.000,4
M205x3,6H,201.752,202.252,205.000,3
M205x2,6H,202.835,203.210,205.000,2
M210x8,6H,201.340,202.340,210.000,8
M210x6,6H,203.505,204.305,210.000,6
M210x4,6H,205.670,206.270,210.000,4
M210x3,6H,206.752,207.252,210.000,3
M210x2,6H,207.835,208.210,210.000,2
M215x6,6H,208.505,209.305,215.000,6
M215x4,6H,210.670,211.270,215.000,4
M215x3,6H,211.752,212.252,215.000,3
M220x8,6H,211.340,212.340,220.000,8
M220x6,6H,213.505,214.305,220.000,6
M220x4,6H,215.670,216.270,220.000,4
M220x3,6H,216.752,217.252,220.000,3
M220x2,6H,217.835,218.210,220.000,2
M225x6,6H,218.505,219.305,225.000,6
M225x4,6H,220.670,221.270,225.000,4
M225x3,6H,221.752,222.252,225.000,3
M225x2,6H,222.835,223.210,225.000,2
M230x6,6H,223.505,224.305,230.000,6
M230x4,6H,225.670,226.270,230.000,4
M230x3,6H,226.752,227.252,230.000,3
M230x2,6H,227.835,228.210,230.000,2
M235x6,6H,228.505,229.305,235.000,6
M235x4,6H,230.670,231.270,235.000,4
M235x3,6H,231.752,232.252,235.000,3
M240x8,6H,231.340,232.340,240.000,8
M240x6,6H,233.505,234.305,240.000,6
M240x4,6H,235.670,236.270,240.000,4
M240x3,6H,236.752,237.252,240.000,3
M240x2,6H,237.835,238.210,240.000,2
M245x6,6H,238.505,239.305,245.000,6
M245x4,6H,240.670,241.270,245.000,4
M245x3,6H,241.752,242.252,245.000,3
M245x2,6H,242.835,243.210,245.000,2
M250x8,6H,241.340,242.340,250.000,8
M250x6,6H,243.505,244.305,250.000,6
M250x4,6H,245.670,246.270,250.000,4
M250x3,6H,246.752,247.252,250.000,3
M250x2,6H,247.835,248.210,250.000,2
M255x6,6H,248.505,249.305,255.000,6
M255x4,6H,250.670,251.270,255.000,4
M255x3,6H,251.752,252.252,255.000,3
M260x8,6H,251.340,252.340,260.000,8
M260x6,6H,253.505,254.305,260.000,6
M260x4,6H,255.670,256.270,260.000,4
M260x3,6H,256.752,257.252,260.000,3
M265x6,6H,258.505,259.305,265.000,6
M265x4,6H,260.670,261.270,265.000,4
M265x3,6H,261.752,262.252,265.000,3
M270x6,6H,263.505,264.305,270.000,6
M270x4,6H,265.670,266.270,270.000,4
M270x3,6H,266.752,267.252,270.000,3
M275x6,6H,268.505,269.305,275.000,6
M275x4,6H,270.670,271.270,275.000,4
M275x3,6H,271.752,272.252,275.000,3
M280x8,6H,271.340,272.340,280.000,8
M280x6,6H,273.505,274.305,280.000,6
M280x4,6H,275.670,276.270,280.000,4
M280x3,6H,276.752,277.252,280.000,3
M285x6,6H,278.505,279.305,285.000,6
M285x4,6H,280.670,281.270,285.000,4
M285x3,6H,281.752,282.252,285.000,3
M290x6,6H,283.505,284.305,290.000,6
M290x4,6H,285.670,286.270,290.000,4
M290x3,6H,286.752,287.252,290.000,3
M295x6,6H,288.505,289.305,295.000,6
M295x4,6H,290.670,291.270,295.000,4
M295x3,6H,291.752,292.252,295.000,3
M300x8,6H,291.340,292.340,300.000,8
M300x6,6H,293.505,294.305,300.000,6
M300x4,6H,295.670,296.270,300.000,4
M300x3,6H,296.752,297.252,300.000,3
M310x6,6H,303.505,304.305,310.000,6
M310x4,6H,305.670,306.270,310.000,4
M320x6,6H,313.505,314.305,320.000,6
M320x4,6H,315.670,316.270,320.000,4
M330x6,6H,323.505,324.305,330.000,6
M330x4,6H,325.670,326.270,330.000,4
M340x6,6H,333.505,334.305,340.000,6
M340x4,6H,335.670,336.270,340.000,4
M350x6,6H,343.505,344.305,350.000,6
M350x4,6H,345.670,346.270,350.000,4
M360x6,6H,353.505,354.305,360.000,6
M360x4,6H,355.670,356.270,360.000,4
M370x6,6H,363.505,364.305,370.000,6
M370x4,6H,365.670,366.270,370.000,4
M380x6,6H,373.505,374.305,380.000,6
M380x4,6H,375.670,376.270,380.000,4
M390x6,6H,383.505,384.305,390.000,6
M390x4,6H,385.670,386.270,390.000,4
M400x6,6H,393.505,394.305,400.000,6
M400x4,6H,395.670,396.270,400.000,4
M410x6,6H,403.505,404.305,410.000,6
M420x6,6H,413.505,414.305,420.000,6
M430x6,6H,423.505,424.305,430.000,6
M440x6,6H,433.505,434.305,440.000,6
M450x6,6H,443.505,444.305,450.000,6
M460x6,6H,453.505,454.305,460.000,6
M470x6,6H,463.505,464.305,470.000,6
M480x6,6H,473.505,474.305,480.000,6
M490x6,6H,483.505,484.305,490.000,6
M500x6,6H,493.505,494.305,500.000,6
M510x6,6H,503.505,504.305,510.000,6
M520x6,6H,513.505,514.305,520.000,6
M530x6,6H,523.505,524.305,530.000,6
M540x6,6H,533.505,534.305,540.000,6
M550x6,6H,543.505,544.305,550.000,6
M560x6,6H,553.505,554.305,560.000,6
M570x6,6H,563.505,564.305,570.000,6
M580x6,6H,573.505,574.305,580.000,6
M590x6,6H,583.505,584.305,590.000,6
M600x6,6H,593.505,594.305,600.000,6
M1060x8,6H,1051.340,1052.340,1060.000,8
